Market,continent,iso_alpha,STOCK EXCHANGE,Year,ESG GUIDANCE
Greece,Europe,GRC,Athens Exchange Group,2022,ESG Reporting Guide
Ireland,Europe,IRL,Euronext Dublin,2022,ESG Reporting Guide - Target 1.5°C
Italy,Europe,ITA,Borsa Italiana (Euronext),2022,ESG Reporting Guide - Target 1.5°C
Netherlands,Europe,NLD,Euronext Amsterdam,2022,ESG Reporting Guide - Target 1.5°C
Norway,Europe,NOR,Oslo Bors (Euronext),2022,ESG Reporting Guide - Target 1.5°C
Portugal,Europe,PRT,Euronext Lisbon,2022,ESG Reporting Guide - Target 1.5°C
Russian Federation,Asia,RUS,Moscow Exchange,2022,ESG Best Practice Guide (in Russian)
UK,Europe,GBR,Euronext London,2022,ESG Reporting Guide - Target 1.5°C
,,,,,
Reference: https://sseinitiative.org/esg-guidance-database/,,,,,
