Market,continent,iso_alpha,STOCK EXCHANGE,Year,ESG GUIDANCE
Peru,South America,PER,Group BVL,2020,Gua de Usuario para facilitar el llenado del Reporte de Sostenibilidad Corporativa
Sweden,Europe,SWE,Nasdaq Stockholm,2020,ESG Reporting Guide 2.0: A Support Resource for Companies
Morocco,Africa,MAR,Bourse de Casablanca,2021,Guide sur la Responsabilit Socitale des Enterprises et le reporting ESG
New Zealand,Oceania,NZL,New Zealand Stock Exchange,2021,"Environmental, Social and Governance: NZX Guidance Note"
Peru,South America,PER,Group BVL,2021,Gua de Usuario para facilitar el llenado del Reporte de Sostenibilidad Corporativa
Sweden,Europe,SWE,Nasdaq Stockholm,2021,ESG Reporting Guide 2.0: A Support Resource for Companies
Morocco,Africa,MAR,Bourse de Casablanca,2022,Guide sur la Responsabilit Socitale des Enterprises et le reporting ESG
New Zealand,Oceania,NZL,New Zealand Stock Exchange,2022,"Environmental, Social and Governance: NZX Guidance Note"
Peru,South America,PER,Group BVL,2022,Gua de Usuario para facilitar el llenado del Reporte de Sostenibilidad Corporativa
Sweden,Europe,SWE,Nasdaq Stockholm,2022,ESG Reporting Guide 2.0: A Support Resource for Companies
Botswana,Africa,BWA,Botswana Stock Exchange,2018,Guidance for Listed Companies on Reporting ESG Information to Investors
Costa Rica,North America,CRI,Bolsa Nacional de Valores,2018,Gua voluntaria para la creacin de reportes de sostenibilidad (in Spanish)
India,Asia,IND,Bombay Stock Exchange,2018,BSE Guidance Document on ESG Disclosures
Jordan,Asia,JOR,Amman Stock Exchange,2018,Guidance on Sustainability Reporting (Also in Arabic)
Nigeria,Africa,NGA,Nigerian Exchange,2018,Sustainability Disclosure Guidelines
Kazakhstan,Asia,KAZ,Kazakhstan Stock Exchange,2018,"Methodology of preparing an Environmental, Social and Governance report"
Malaysia,Asia,MYS,Bursa Malaysia,2018,Sustainability Reporting Guide
Singapore,Asia,SGP,Singapore Exchange,2018,Sustainability Reporting Guide
Botswana,Africa,BWA,Botswana Stock Exchange,2019,Guidance for Listed Companies on Reporting ESG Information to Investors
Costa Rica,North America,CRI,Bolsa Nacional de Valores,2019,Gua voluntaria para la creacin de reportes de sostenibilidad (in Spanish)
India,Asia,IND,Bombay Stock Exchange,2019,BSE Guidance Document on ESG Disclosures
Jordan,Asia,JOR,Amman Stock Exchange,2019,Guidance on Sustainability Reporting (Also in Arabic)
Nigeria,Africa,NGA,Nigerian Exchange,2019,Sustainability Disclosure Guidelines
Kazakhstan,Asia,KAZ,Kazakhstan Stock Exchange,2019,"Methodology of preparing an Environmental, Social and Governance report"
Malaysia,Asia,MYS,Bursa Malaysia,2019,Sustainability Reporting Guide
Singapore,Asia,SGP,Singapore Exchange,2019,Sustainability Reporting Guide
Botswana,Africa,BWA,Botswana Stock Exchange,2020,Guidance for Listed Companies on Reporting ESG Information to Investors
Costa Rica,North America,CRI,Bolsa Nacional de Valores,2020,Gua voluntaria para la creacin de reportes de sostenibilidad (in Spanish)
India,Asia,IND,Bombay Stock Exchange,2020,BSE Guidance Document on ESG Disclosures
Jordan,Asia,JOR,Amman Stock Exchange,2020,Guidance on Sustainability Reporting (Also in Arabic)
Nigeria,Africa,NGA,Nigerian Exchange,2020,Sustainability Disclosure Guidelines
Kazakhstan,Asia,KAZ,Kazakhstan Stock Exchange,2020,"Methodology of preparing an Environmental, Social and Governance report"
Malaysia,Asia,MYS,Bursa Malaysia,2020,Sustainability Reporting Guide
Singapore,Asia,SGP,Singapore Exchange,2020,Sustainability Reporting Guide
Botswana,Africa,BWA,Botswana Stock Exchange,2021,Guidance for Listed Companies on Reporting ESG Information to Investors
Costa Rica,North America,CRI,Bolsa Nacional de Valores,2021,Gua voluntaria para la creacin de reportes de sostenibilidad (in Spanish)
India,Asia,IND,Bombay Stock Exchange,2021,BSE Guidance Document on ESG Disclosures
Jordan,Asia,JOR,Amman Stock Exchange,2021,Guidance on Sustainability Reporting (Also in Arabic)
Nigeria,Africa,NGA,Nigerian Exchange,2021,Sustainability Disclosure Guidelines
Kazakhstan,Asia,KAZ,Kazakhstan Stock Exchange,2021,"Methodology of preparing an Environmental, Social and Governance report"
Malaysia,Asia,MYS,Bursa Malaysia,2021,Sustainability Reporting Guide
Singapore,Asia,SGP,Singapore Exchange,2021,Sustainability Reporting Guide
Botswana,Africa,BWA,Botswana Stock Exchange,2022,Guidance for Listed Companies on Reporting ESG Information to Investors
Costa Rica,North America,CRI,Bolsa Nacional de Valores,2022,Gua voluntaria para la creacin de reportes de sostenibilidad (in Spanish)
India,Asia,IND,Bombay Stock Exchange,2022,BSE Guidance Document on ESG Disclosures
Jordan,Asia,JOR,Amman Stock Exchange,2022,Guidance on Sustainability Reporting (Also in Arabic)
Nigeria,Africa,NGA,Nigerian Exchange,2022,Sustainability Disclosure Guidelines
Kazakhstan,Asia,KAZ,Kazakhstan Stock Exchange,2022,"Methodology of preparing an Environmental, Social and Governance report"
Malaysia,Asia,MYS,Bursa Malaysia,2022,Sustainability Reporting Guide
Singapore,Asia,SGP,Singapore Exchange,2022,Sustainability Reporting Guide
Bangladesh,Asia,BGD,Dhaka Stock Exchange,2019,Guidance on Sustainability Reporting
Denmark,Europe,DNK,Nasdaq Copenhagen,2019,ESG Reporting Guide 2.0: A Support Resource for Companies
Estonia,Europe,EST,Nasdaq Tallinn,2019,ESG Reporting Guide 2.0: A Support Resource for Companies
Finland,Europe,FIN,Nasdaq Helsinki,2019,ESG Reporting Guide 2.0: A Support Resource for Companies
Iceland,Europe,ISL,Nasdaq Iceland,2019,ESG Reporting Guide 2.0: A Support Resource for Companies (Also in Icelandic)
